Municipality,Settlement,ID,Facility Type,Facility Name,Neighborhood,Street,House Number,X Cord,Y Cord,Building Amount,Owner,Operator,Contact Phone,Contact eMail,Seat amount,Availability,Fencing Available,Lighting Available,Accessibility,Parking Available,Facility Condition,Competition Standard,Official Competition Use,Year Built,School Served,Availability Category,Fencing Available Numeric,Lighting Available Numeric,Facility Condition Numeric,Facility Age
אבו גוש,,031G2308773,אולם ספורט קטן – 15x24 מ',"אולם התעמלות ביה""ס השלום",עבדאלרחמן,עבדאלרחמן - התמר,3,210525.0,634529.0,,אבו גוש,"מועצה מקומית אבו גוש + ביה""ס יסודי השלום + מתנ""ס אבו גוש",025700342,mohamad.jaber81@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2019.0,כן,Low,1,1,4.0,6.0
אבו גוש,,031G3301122,אולם ספורט בינוני – 32x19 מ',אולם פיס אבו גוש,ליד תיכון אבו גוש,השלום,12,210265.0,635399.0,,אבו גוש,רשות מקומית + מרכז קהילתי אבו גוש,02-5700342,mohamad.jaber81@gmail.com,450.0,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2008.0,חטיבת ביניים ותיכון אבו גוש,High,1,1,4.0,17.0
אבו גוש,,031B1305253,מגרש כדורסל – 19X32 מ',מגרש משולב כדורגל תיכון,ליד אולם ספורט,השלום,12,210232.0,635383.0,,אבו גוש,רשות מקומית + מרכז קהילתי אבו גוש,02-5700342,mohamad.jaber81@gmail.com,100.0,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1994.0,חטיבת ביניים ותיכון אבו גוש,Very High,1,1,3.0,31.0
אבו גוש,,031B1205740,מגרש כדורסל – 19X32 מ',מגרש קטן חטיבת ביניים,,השלום,,210403.0,635436.0,,אבו גוש,רשות מקומית,02-5346975,mohamad.jaber81@gmail.com,0.0,בוקר בלבד,לא,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2005.0,חטיבת ביניים,Medium,0,0,3.0,20.0
אבו גוש,,031B2305241,מגרש ספורט משולב – 43X32 מ',מגרש משולב יסודי מרכז,מרכז,מחמוד רשיד,1,210393.0,635129.0,,אבו גוש,"רשות מקומית + מרכז קהילתי אבו גוש +ביה""ס יסודי אבו גוש מרכז",02-5342875,mohamad.jaber81@gmail.com,150.0,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1975.0,יסודי אבו גוש מרכז,Very High,1,1,3.0,50.0
אבו גוש,,031B2205252,מגרש ספורט משולב – 43X32 מ',מגרש משולב כדורגל יסודי השלום,עבדאלרחמן,עבדאלרחמן - התמר,1,210523.0,634529.0,,אבו גוש,"מועצה מקומית אבו גוש + ביה""ס יסודי השלום + מתנ""ס אבו גוש",025700342,mohamad.jaber81@gmail.com,50.0,מבוקר ועד לילה,כן,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,2010.0,יסודי השלום,High,1,0,3.0,15.0
אבו סנאן,,032G2100771,אולם ספורט קטן – 15x24 מ',אולם ספורט,שכונת החיילים,,,216156.0,762892.0,,אבו סנאן,מועצה מקומית אבו סנאן,049964527,tahseen.abreek@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,לא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,,2018.0,,Low,1,1,2.0,7.0
אבו סנאן,,032B2104971,מגרש ספורט משולב – 43X32 מ',מגרש משולב,כרם אלרגמה,,,216062.0,762871.0,,אבו סנאן,מועצה מקומית אבו סנאן,049964527,tahseen.abreek@gmail.com,150.0,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1995.0,תיכון,Very High,1,1,3.0,30.0
אבו סנאן,,032B2104972,מגרש ספורט משולב – 43X32 מ',מגרש משולב,מערבית,,,215339.0,763104.0,,אבו סנאן,מועצה מקומית אבו סנאן,049964527,tahseen.abreek@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,,2009.0,בית ספר יסודי ב',Very High,1,1,4.0,16.0
אבו סנאן,,032G2100760,אולם ספורט קטן – 15x24 מ',אולם ספורט,כרם אלרוגמה,,,216190.0,763120.0,,אבו סנאן,מועצה מקומית אבוסנאן,049964527,tahseen.abreek@gmail.com,350.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1988.0,,Low,1,1,4.0,37.0
אבו סנאן,,032G1100351,אולם ספורט קטן – 20x10 מ',אולם התעמלות,מערבית,,,215380.0,763090.0,,אבו סנאן,מועצה מקומית אבוסנאן,049964527,tahseen.abreek@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2001.0,בית ספר יסודי ב',Low,1,1,4.0,24.0
אבו סנאן,,032P1102448,בריכת שחיה - 25X12.5 מ',ברכת שחייה,כרם אלרוגמה,,,216170.0,763260.0,,אבו סנאן,מועצה מקומית אבוסנאן,04-9568805,nabihshekh@yahoo.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1997.0,,Low,1,1,4.0,28.0
